iter	Passed	Remaining
235	4622	14964
236	4640	14941
237	4657	14912
238	4676	14889
239	4693	14862
240	4711	14838
241	4728	14809
242	4746	14785
243	4766	14767
244	4785	14748
245	4803	14724
246	4822	14701
247	4841	14682
248	4859	14656
249	4878	14634
250	4898	14617
251	4915	14589
252	4935	14572
253	4953	14549
254	4973	14529
255	4992	14509
256	5014	14495
257	5030	14468
258	5050	14450
259	5069	14428
260	5085	14399
261	5104	14378
262	5122	14353
263	5142	14337
264	5160	14312
265	5179	14291
266	5197	14267
267	5217	14250
268	5234	14225
269	5252	14200
270	5271	14181
271	5290	14159
272	5307	14133
273	5324	14107
274	5343	14087
275	5363	14069
276	5381	14045
277	5402	14031
278	5420	14008
279	5442	13994
280	5464	13983
281	5481	13957
282	5501	13939
283	5521	13921
284	5541	13901
285	5559	13880
286	5578	13859
287	5598	13840
288	5618	13822
289	5637	13802
290	5656	13782
291	5676	13764
292	5693	13739
293	5713	13719
294	5732	13700
295	5752	13682
296	5770	13657
297	5786	13630
298	5808	13618
299	5825	13593
300	5843	13569
301	5867	13561
302	5892	13555
303	5913	13539
304	5939	13534
305	5959	13516
306	5985	13510
307	6007	13498
308	6030	13485
309	6052	13472
310	6074	13456
311	6099	13449
312	6123	13439
313	6149	13435
314	6172	13422
315	6192	13404
316	6215	13392
317	6238	13379
318	6310	13471
319	6341	13476
320	6361	13455
321	6378	13431
322	6402	13418
323	6424	13403
324	6445	13386
325	6467	13371
326	6487	13352
327	6506	13331
328	6527	13313
329	6549	13297
330	6571	13282
331	6596	13271
332	6621	13261
333	6642	13245
334	6664	13229
335	6686	13213
336	6708	13197
337	6732	13185
338	6755	13172
339	6776	13155
340	6798	13138
341	6820	13123
342	6842	13106
343	6864	13089
344	6883	13069
345	6903	13048
346	6925	13032
347	6947	13017
348	6970	13002
349	6991	12985
350	7011	12964
351	7032	12945
352	7051	12924
353	7074	12910
354	7095	12891
355	7115	12872
356	7137	12855
357	7160	12840
358	7178	12816
359	7200	12800
360	7221	12782
361	7243	12765
362	7263	12745
363	7281	12722
364	7301	12702
365	7321	12681
366	7340	12661
367	7362	12644
368	7381	12621
369	7399	12599
370	7418	12576
371	7437	12556
372	7458	12537
373	7478	12517
374	7495	12492
375	7516	12474
376	7536	12453
377	7554	12431
378	7572	12408
379	7590	12384
380	7608	12360
381	7628	12341
382	7645	12316
383	7662	12291
384	7678	12266
385	7698	12245
386	7715	12221
387	7735	12201
388	7757	12184
389	7778	12166
390	7795	12141
391	7818	12126
392	7838	12107
393	7857	12085
394	7877	12066
395	7894	12040
396	7914	12020
397	7932	11998
398	7951	11977
399	7970	11956
400	7987	11931
401	8006	11909
402	8023	11885
403	8040	11861
